Contact ID,contact_created_at,contact_updated_at,utm_source,total_events,events_after_acq,first_event_at,distinct_event_days,engaged,retained
3414,2025-09-19 02:59:00,2025-09-19 02:59:00,unknown,1,0,2025-09-03 13:34:00,1,False,False
3425,2025-09-22 18:56:00,2025-09-22 18:56:00,unknown,0,0,,0,False,False
3384,2025-09-10 02:27:00,2025-09-10 02:27:00,unknown,1,0,2025-09-03 13:34:00,1,False,False
3382,2025-09-09 11:52:00,2025-09-09 11:52:00,unknown,1,0,2025-09-03 13:34:00,1,False,False
1909,2025-03-21 12:17:00,2025-03-21 12:17:00,unknown,6,4,2024-08-16 11:05:00,11,True,True
3411,2025-09-18 10:23:00,2025-09-18 10:23:00,unknown,1,0,2025-09-03 13:34:00,1,False,False
2543,2025-06-05 00:26:00,2025-09-18 20:41:00,unknown,3,2,2025-02-22 09:38:00,3,True,True
1275,2024-10-16 19:04:00,2024-10-31 06:55:00,unknown,3,2,2024-10-11 09:27:00,3,True,True
3423,2025-09-22 11:31:00,2025-09-22 11:31:00,unknown,0,0,,0,False,False
984,2024-10-25 18:15:00,2025-08-07 14:02:00,unknown,8,30,2024-08-16 11:05:00,12,True,True
1993,2025-01-18 23:20:00,2025-01-18 23:20:00,dtc_newsletter,4,4,2024-08-16 11:05:00,8,True,True
1287,2024-10-17 02:24:00,2025-09-15 07:46:00,unknown,3,4,2024-10-11 09:27:00,3,True,True
3412,2025-09-18 10:23:00,2025-09-18 10:23:00,unknown,1,0,2025-09-03 13:34:00,1,False,False
3041,2025-06-24 19:56:00,2025-06-24 19:56:00,dtc_newsletter,1,0,2025-02-22 09:38:00,1,False,False
3426,2025-09-23 05:23:00,2025-09-23 05:23:00,unknown,0,0,,0,False,False
1445,2024-11-01 19:51:00,2024-12-08 03:51:00,unknown,5,12,2024-08-16 11:05:00,9,True,True
3380,2025-09-09 10:20:00,2025-09-09 10:20:00,unknown,1,0,2025-09-03 13:34:00,1,False,False
3386,2025-09-10 07:47:00,2025-09-10 07:47:00,unknown,1,0,2025-09-03 13:34:00,1,False,False
229,2025-09-12 14:24:00,2025-09-12 14:24:00,unknown,4,0,2024-08-16 11:05:00,9,False,True
3424,2025-09-22 14:36:00,2025-09-22 14:36:00,unknown,0,0,,0,False,False
752,2025-05-29 19:36:00,2025-09-15 09:41:00,unknown,4,2,2024-08-16 11:05:00,9,True,True
3389,2025-09-10 08:37:00,2025-09-10 08:37:00,unknown,1,0,2025-09-03 13:34:00,1,False,False
1150,2024-10-13 20:15:00,2025-09-10 13:33:00,unknown,5,12,2024-08-16 11:05:00,9,True,True
438,2024-10-25 18:15:00,2024-10-25 18:15:00,alexey_linkedin,8,30,2024-08-16 11:05:00,12,True,True
1218,2024-10-16 12:10:00,2024-10-16 12:10:00,unknown,4,4,2024-08-16 11:05:00,9,True,True
